,Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
142,Sentinels (S),Tarik,FinalMouse Starlight Pro,500,800,0.471,376,1,LG Ultragear 27GN950-B,144,RTX 3080 Ti,1680x1050,Artisan Zero,Logitech G Pro Mechanical Keyboard,Beyerdynamic DT 990 Pro
143,Gen.G (B),jcStani,Zowie ZA11,1000,800,0.4,320,1,,240,,1440x1080,Logitech G640,Leopold FC750R,Audio Technica M50x + modmic
144,Gen.G (B),NaturE,Logitech G Pro Wireless,1000,800,0.508,406,0.68,,,,1920x1080,HyperX FURY S Pro,Logitech G815,HyperX Cloud II
145,TSM,Seven,Logitech G Pro X Superlight,1000,1600,0.25,400,1,BenQ XL2546K,240,,1920x1080,Artisan Hien FX Soft,,
146,TSM,Subroza,Logitech G Pro X Superlight,1000,800,0.277,221,1,BenQ XL2540,240,RTX 3090,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
147,TSM,gMd,Logitech G Pro Wireless,1000,400,0.8,320,1,,0,,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,HyperX Cloud Flight
148,TSM,Rossy,Logitech G Pro X Superlight,1000,1600,0.225,360,1,ASUS TUF VG279QM,240,RTX 3070,1280x1024,Logitech G640,Logitech G915 TKL,Logitech G Pro X Wireless Headset
149,TSM,Corey,Logitech G Pro X Superlight,1000,800,0.321,256,1,"OMEN by HP 24.5""",240,RTX 2080 Ti,1920x1080,Logitech G640,Corsair K-70 RGB,Logitech G Pro X
150,Version 1,Zander,FinalMouse Starlight Pro,1000,800,0.275,220,0.95,BenQ XL2546,240,RTX 2070 Super,1920x1080,Zowie G-SR-SE Rouge,Xtrfy K4 TKL,HyperX Cloud II Wireless
151,Version 1,effys,Logitech G Pro X Superlight,1000,400,0.45,180,1,BenQ XL2546K,240,GTX 1080 Ti,1920x1080,Logitech G640,Razer Huntsman Mini,HyperX Cloud II Wireless
152,Version 1,zellsis,Logitech G Pro X Superlight,1000,800,0.215,172,0.82,BenQ XL2546,240,GTX 1080,1920x1080,Zowie G-SR-SE Rouge,Gamesense Clutch,Sennheiser GAME ZERO
153,Version 1,wippie,Logitech G Pro X Superlight Magenta,1000,800,1.572,1257,0.948,BenQ XL2546K,240,RTX 2070 Super,1024x768,Artisan FX Zero XSoft,HyperX Alloy Origins,Logitech G Pro X Wireless Headset
154,Version 1,penny,Logitech G Pro X Superlight White,1000,800,0.408,326,,,,,,HyperX FURY,HyperX Alloy Elite,HyperX Cloud Earbuds
155,Heretics,lowel,Razer DeathAdder V3 Pro,1000,400,0.566,226,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Zowie G-SR DG,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
156,Heretics,keloqz,Logitech G Pro X Superlight,1000,400,0.44,176,1,BenQ XL2546K,240,GTX 1060,1920x1080,Logitech G640,,Logitech G Pro X Wireless Headset
157,T1,Thwifo,Logitech G Pro Wireless,1000,800,0.3,240,0.9,Alienware AW2521HF,240,RTX 2070,1600x900,SteelSeries QcK+,SteelSeries Apex Pro TKL,Sennheiser G4ME ONE
158,T1,Munchkin,Logitech G Pro Wireless,1000,800,0.2,160,1,,,,1440x1080,VAXEE PA Winter 21,Leopold FC750R,
159,T1,steel,Razer DeathAdder V3 Pro,1000,800,0.45,360,1,BenQ XL2546,240,RTX 3080,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
160,T1,xeta,Logitech G Pro X Superlight Black,1000,400,0.58,232,0.85,BenQ XL2546,240,,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS Pro,Sennheiser GAME ZERO
161,BIG,luckerrr,Razer Viper 8KHz,1000,400,0.913,365,1,BenQ XL2546,240,RTX 2080,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
162,BIG,AslaN,Logitech G Pro X Superlight Black,1000,400,0.6,240,1,BenQ XL2546K,240,RTX 2070 Super,1920x1080,Corsair MM250,Corsair K65,Corsair HS80
163,Giants,russ,VAXEE OUTSET AX Glossy,1000,800,0.5,400,1,ASUS VG259QM,240,,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
164,Giants,Kiles,Logitech G Pro X Superlight Black,1000,800,0.431,344,1,BenQ XL2540,240,RTX 2080,1280x960,VAXEE PA ZYGEN,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
165,Giants,Fitinho,Xtrfy M4 Black,1000,400,0.63,252,1,BenQ XL2546,240,,1920x1080,Corsair MM350 Champion Series,Xtrfy K2-RGB,HyperX Cloud II
166,Giants,ShadoW,FinalMouse Ultralight 2,500,400,0.408,163,1,BenQ XL2546,240,RTX 2080 Super,1920x1080,SteelSeries QcK+,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
167,Ghost,aproto,Razer DeathAdder V3 Pro,1000,800,0.31,248,1,BenQ XL2546K,240,,1920x1080,Razer Gigantus V2,Razer Blackwidow V3 TKL,HyperX Cloud II
168,MOUZ,KRYPTIX,Pulsar Xlite V2 Wireless,1000,400,0.471,188,0.8,BenQ XL2540,240,RTX 3080,1920x1080,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
169,MOUZ,RECIDENT,FinalMouse Starlight 12,,,,,,BenQ XL2546K,240,,,Razer Gigantus,Razer Huntsman TE,Razer BlackShark V2
170,MOUZ,memset,Logitech G Pro X Superlight,1000,400,0.37,148,,BenQ XL2546K,240,,1920x1080,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
171,MOUZ,Luzuh,Logitech G Pro X Superlight,1000,400,0.541,216,1,BenQ XL2540,240,,1280x960,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
172,MOUZ,al0rante,Razer Viper V2 Pro,1000,400,0.35,140,1,BenQ XL2546,240,,1920x1080,Razer Gigantus V2,Razer Huntsman TE,HyperX Cloud II
173,Shopify Rebellion,moose,Pwnage Ultra Custom,1000,400,0.628,251,1,BenQ XL2546,240,GTX 1080,1920x1080,Logitech G640,CM MasterKeys Pro S,HyperX Cloud II
174,Knights,Genghsta,Razer Viper Ultimate,1000,1600,0.115,184,1,BenQ XL2546,240,GTX 1080,1920x1080,Zowie G-SR,HyperX Alloy FPS Pro,HyperX Cloud II
175,SMB,glovee,Xtrfy M42,1000,400,0.525,210,1,BenQ XL2546,240,RTX 3060,1024x768,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
176,SMB,Brave,Logitech G Pro Wireless,1000,400,0.85,340,1,BenQ XL2546K,240,,1920x1080,Logitech G640,HyperX Alloy FPS,Logitech G Pro X Headset
177,SMB,Izzy,Logitech G Pro X Superlight,1000,400,0.56,224,0.852,BenQ XL2546,240,,1920x1080,,Corsair K70 LUX,HyperX Cloud II
178,NYFU (B),vice,Logitech G Pro Wireless,1000,800,0.245,196,1,BenQ XL2546,240,GTX 1080 Ti,1280x960,HyperX FURY S Speed Edition,Logitech G915 TKL,HyperX Cloud Revolver S
179,NYFU,YaBoiDre,Logitech G Pro Wireless,1000,800,0.314,251,1,Alienware AW2518H,240,GTX 1080 Ti,1920x1080,HyperX FURY S Speed Edition,Logitech G Pro Mechanical Keyboard,Bose QC20
180,EG,C0M,Logitech G Pro Wireless,1000,800,0.25,200,1,BenQ XL2546,240,GTX 1060,1680x1050,Logitech G640,Logitech G610,HyperX Cloud II
181,Prodigy,JEROME,Logitech MX518 Legendary,1000,800,0.471,376,1,BenQ XL2546,240,,1280x960,SteelSeries QcK+,HyperX Alloy FPS,HyperX Cloud Earbuds
182,Sector One,iDex,Razer DeathAdder V3 Pro,1000,800,0.244,195,1,BenQ XL2546,240,,1920x1080,Zowie G-SR-SE,Ducky MIYA Pro Sakura,HyperX Cloud Alpha
183,INTERPOL,deM0,Logitech G Pro Wireless,1000,400,0.624,249,0.624,BenQ XL2411,144,GTX 1060,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud Alpha PE
184,INTERPOL,cry0,Zowie EC1,1000,400,0.471,188,1,BenQ XL2540,240,RTX 2070 Super,1920x1080,Zowie G-SR,Logitech G513,Sennheiser GSP 500
185,Alliance,SEIDER,Razer Viper V2 Pro,1000,1600,0.15,240,1,,,,1280x960,Razer Gigantus V2,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
186,FURIA,qck,Razer Viper Ultimate,1000,400,0.74,296,1,BenQ XL2546,240,RTX 2070 Super,1920x1080,Esports Tiger Neon,HyperX Alloy Origins 60,HyperX Cloud II
187,FURIA,nzr,Logitech G Pro X Superlight Black,1000,800,0.45,360,1,AOC G2460PF,144,,1920x1080,VAXEE PA Winter 21,HyperX Alloy FPS,HyperX Cloud II
188,FURIA,Khalil,Logitech G Pro X Superlight,1000,800,0.5,400,1,BenQ XL2546,240,RTX 2070 Super,1920x1080,Razer Gigantus V2,HyperX Alloy FPS Pro,HyperX Cloud II
189,FURIA,mazin,Xtrfy M4 Wireless,1000,800,0.35,280,1,AOC AGON AG241QG,240,GTX 1060,1920x1080,VAXEE PA Winter 21,HyperX Alloy Origins,HyperX Cloud II
190,FURIA,dgzin,FinalMouse Starlight 12,1000,400,0.3,120,1,BenQ XL2546K,240,RTX 2070 Super,1280x1080,Artisan Zero,HyperX Alloy Origins Core,
191,BBL,AsLanMashadoVV,Xtrfy M42,1000,400,0.6,240,0.9,BenQ XL2546,240,RTX 2070,1280x960,SteelSeries QcK Large Cyberpunk Edition,Razer BlackWidow X Chroma ME,HyperX Cloud II
192,BBL,Turko,Logitech G Pro X Superlight,1000,400,0.6,240,1,,,,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud II
193,BBL,aimdll,Zowie S2 Divina Edition,1000,400,0.531,212,1,ASUS VG259QM,240,RTX 2060 Super,1280x960,Zowie G-SR,Razer BlackWidow Elite,HyperX Cloud II
194,Rebels Gaming,JannyXD,Razer Viper V2 Pro,1000,400,0.52,208,1,BenQ XL2546K,240,RTX 3060,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2 Pro
195,Rebels Gaming,GatsH,Razer Viper Ultimate,1000,400,0.4,160,1,BenQ XL2546K,240,RTX 3060,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2
196,Rebels Gaming,vo0kashu,Razer Viper V2 Pro,1000,800,0.211,168,1,BenQ XL2546K,240,RTX 3060,1280x960,Razer Gigantus V2,Razer Huntsman Mini,
197,ORDER,Texta,Logitech G Pro Wired,1000,400,0.7,280,1,Alienware AW2521HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
198,ORDER,Disk0,Logitech G Pro X Superlight Black,1000,400,0.525,210,1,Alienware AW2720HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
199,Vitality,BONECOLD,Razer DeathAdder V3 Pro,1000,800,0.27,216,1,BenQ XL2540,240,RTX 3060,1280x960,VAXEE PA,Logitech G Pro X Mechanical Keyboard,Sennheiser GAME ZERO
